,Consumerism,"Drinking, Drugs & Smoking",Educational Value,Language,MPAA_rating,Positive Messages,Sex,Sexy Stuff,Violence,Violence & Scariness,age,genre,movie_id,one_line_description,overall_rating,slug,title,is_educational,has_Sexy_Stuff,has_Violence_&_Scariness
14,0.0,0.0,0.0,0.0,NR,3.0,0.0,0.0,0.0,0.0,6,Family and Kids,14,Predictable body-switching comedy has positive messages.,3,the-swap,The Swap,1.0,1.0,1.0
17,1.0,2.0,2.0,2.0,PG,4.0,0.0,1.0,0.0,3.0,8,Family and Kids,17,"Terrific, action-packed superhero sequel was worth the wait.",4,incredibles-2,Incredibles 2,1.0,1.0,1.0
24,1.0,0.0,0.0,0.0,G,5.0,0.0,0.0,0.0,1.0,8,Family and Kids,24,Kid-friendly soccer tale scores with positive messages.,4,alex-me,Alex &amp; Me,1.0,1.0,1.0
29,0.0,0.0,4.0,0.0,NR,4.0,0.0,0.0,0.0,0.0,3,Family and Kids,29,"Biodiversity, environmental concerns in marine adventures.",4,one-big-ocean,One Big Ocean,1.0,1.0,1.0
32,1.0,0.0,1.0,1.0,PG,3.0,0.0,2.0,0.0,3.0,6,Family and Kids,32,"More peril, action in sweet but unsurprising sequel.",3,sherlock-gnomes,Sherlock Gnomes,1.0,1.0,1.0
49,0.0,1.0,1.0,2.0,NR,2.0,0.0,0.0,0.0,2.0,8,Family and Kids,49,"Feisty girl solves a mystery; mild action, kids in peril.",2,kid-west,Kid West,1.0,1.0,1.0
56,1.0,0.0,0.0,1.0,PG,1.0,0.0,0.0,0.0,2.0,8,Family and Kids,56,"Talking animals, slapstick jeopardy in live-action misfire.",1,paws-pi,Paws P.I.,1.0,1.0,1.0
64,0.0,0.0,2.0,2.0,PG,4.0,0.0,1.0,0.0,3.0,6,Family and Kids,64,"Charming prehistoric tribute to ""sacred game"" of soccer.",4,early-man,Early Man,1.0,1.0,1.0
70,2.0,0.0,0.0,0.0,G,1.0,0.0,0.0,0.0,2.0,8,Family and Kids,70,Live-action tale about high school besties has peril.,2,daphne-velma,Daphne &amp; Velma,1.0,1.0,1.0
73,4.0,1.0,2.0,2.0,PG,2.0,0.0,1.0,0.0,3.0,8,Family and Kids,73,Talking-animal buddy comedy dogged by controversy.,2,show-dogs,Show Dogs,1.0,1.0,1.0
74,0.0,0.0,,0.0,PG,4.0,0.0,0.0,0.0,1.0,8,Documentary,74,Fond docu has some images of real-world suffering.,3,pope-francis-a-man-of-his-word,Pope Francis: A Man of His Word,0.0,1.0,1.0
85,3.0,0.0,0.0,0.0,NR,3.0,0.0,0.0,0.0,3.0,7,Family and Kids,85,"Loads of cartoon action, girls' heroics, and toy marketing.",3,lego-dc-superhero-girls-super-villain-high,Lego DC SuperHero Girls: Super-Villain High,1.0,1.0,1.0
90,0.0,0.0,2.0,1.0,PG,3.0,0.0,1.0,0.0,3.0,8,Family and Kids,90,Imaginative animated mermaid adventure has a few scares.,3,lu-over-the-wall,Lu Over the Wall,1.0,1.0,1.0
101,0.0,0.0,1.0,0.0,G,2.0,0.0,0.0,0.0,2.0,6,Family and Kids,201,Slapstick action and humor in musical talking-dog sequel.,3,pup-star-world-tour,Pup Star: World Tour,1.0,1.0,1.0
111,0.0,0.0,,0.0,PG,4.0,0.0,0.0,0.0,3.0,8,Family and Kids,211,"Magical, intense adventure should delight tween Potter fans.",4,mary-and-the-witchs-flower,Mary and the Witch's Flower,0.0,1.0,1.0
117,0.0,0.0,0.0,2.0,PG,2.0,0.0,0.0,0.0,3.0,6,Family and Kids,217,"So-so adventure finds the positive in ""negative"" traits.",2,the-son-of-bigfoot,The Son of Bigfoot,1.0,1.0,1.0
118,1.0,2.0,1.0,1.0,PG,2.0,0.0,3.0,0.0,3.0,7,Family and Kids,218,"Action-heavy take on classic books has peril, edgy jokes.",2,peter-rabbit,Peter Rabbit,1.0,1.0,1.0
120,3.0,0.0,1.0,0.0,NR,4.0,0.0,0.0,0.0,2.0,4,Family and Kids,220,Delightful tale will inspire and engage; mild suspense.,4,maya-the-bee-2-the-honey-games,Maya the Bee 2: The Honey Games,1.0,1.0,1.0
132,1.0,0.0,1.0,0.0,PG,4.0,0.0,1.0,0.0,3.0,6,Family and Kids,232,"Charming, heartfelt sequel entertains, inspires compassion.",4,paddington-2,Paddington 2,1.0,1.0,1.0
140,0.0,0.0,2.0,0.0,NR,4.0,0.0,0.0,0.0,1.0,8,Family and Kids,240,Teens challenge stereotypes in lively Disney musical.,3,zombies,Zombies,1.0,1.0,1.0
141,3.0,0.0,0.0,1.0,NR,2.0,0.0,0.0,0.0,3.0,8,Action/Adventure,241,"Cartoon violence, peril in continuing anime story.",2,digimon-adventure-tri-loss,Digimon Adventure Tri: Loss,1.0,1.0,1.0
154,0.0,1.0,2.0,2.0,PG,3.0,0.0,2.0,0.0,3.0,8,Family and Kids,256,Occasionally amusing animal adventure has mixed messages.,2,sheep-wolves,Sheep &amp; Wolves,1.0,1.0,1.0
159,0.0,2.0,3.0,1.0,PG,4.0,0.0,1.0,0.0,3.0,8,Family and Kids,261,Interesting tale of plucky WWI dog has some war violence.,3,sgt-stubby-an-american-hero,Sgt. Stubby: An American Hero,1.0,1.0,1.0
173,0.0,0.0,0.0,1.0,PG,3.0,0.0,0.0,0.0,3.0,7,Family and Kids,275,"Reimagining of classic tale has lots of peril, some scares.",3,pinocchio-2018,Pinocchio (2018),1.0,1.0,1.0
180,0.0,0.0,,0.0,PG,4.0,0.0,1.0,0.0,1.0,8,Drama,282,"Tragic loss rocks, then inspires team in true sports story.",3,the-miracle-season,The Miracle Season,0.0,1.0,1.0
184,0.0,0.0,4.0,0.0,G,4.0,0.0,0.0,0.0,2.0,6,Documentary,286,Educational doc about scientists training pandas to go wild.,4,pandas,Pandas,1.0,1.0,1.0
194,0.0,1.0,4.0,3.0,NR,5.0,0.0,2.0,0.0,2.0,8,Documentary,296,"Engaging Goodall docu has a little violence, language.",4,jane,Jane,1.0,1.0,1.0
214,0.0,0.0,4.0,0.0,NR,3.0,0.0,0.0,0.0,2.0,6,Documentary,316,"Another beautiful, fascinating penguin docu; some peril.",4,march-of-the-penguins-2-the-next-step,March of the Penguins 2: The Next Step,1.0,1.0,1.0
222,2.0,0.0,5.0,0.0,NR,5.0,0.0,1.0,0.0,3.0,6,Documentary,324,Nature triumphs over devices in inspiring nature docu.,4,backyard-wilderness,Backyard Wilderness,1.0,1.0,1.0
231,0.0,0.0,1.0,0.0,NR,4.0,0.0,0.0,0.0,0.0,7,Family and Kids,333,"Christmas comes to Hope Valley in wholesome, feel-good tale.",3,when-calls-the-heart-the-heart-of-homecoming,When Calls the Heart: The  Heart of Homecoming,1.0,1.0,1.0
232,0.0,0.0,0.0,0.0,PG,0.0,0.0,0.0,0.0,1.0,5,Family and Kids,334,Low-budget talking-dog movie has slapstick humor.,1,a-doggone-adventure,A Doggone Adventure,1.0,1.0,1.0
236,1.0,0.0,0.0,1.0,NR,3.0,0.0,0.0,0.0,3.0,8,Family and Kids,338,Updated dog tale has realistic peril and violence.,3,benji-2018,Benji (2018),1.0,1.0,1.0
237,3.0,0.0,1.0,0.0,NR,3.0,0.0,0.0,0.0,2.0,7,Family and Kids,339,"Part movie, part toy ad; fun, busy, and lots of action.",3,lego-dc-comics-superheroes-the-flash,Lego DC Comics Superheroes: The Flash,1.0,1.0,1.0
238,0.0,0.0,0.0,1.0,PG,3.0,0.0,0.0,0.0,2.0,7,Family and Kids,340,Live-action tale with comic jeopardy and potty humor.,2,monsters-at-large,Monsters at Large,1.0,1.0,1.0
247,1.0,0.0,2.0,2.0,PG,4.0,0.0,1.0,0.0,3.0,6,Family and Kids,349,"Sweet story about compassion, nonviolence has a few scares.",4,ferdinand,Ferdinand,1.0,1.0,1.0
251,0.0,0.0,2.0,1.0,PG,2.0,0.0,0.0,0.0,2.0,8,Family and Kids,353,Cartoonish violence in live-action book-based alien tale.,2,aliens-ate-my-homework,Aliens Ate My Homework,1.0,1.0,1.0
