title,Consumerism,"Drinking, Drugs & Smoking",Educational Value,Language,MPAA_rating,Positive Messages,Sex,Sexy Stuff,Violence,Violence & Scariness,age,genre,movie_id,one_line_description,overall_rating,slug,MPAA_ordinal,is_educational,has_Sexy_Stuff,has_Violence_&_Scariness
Sicario: Day of the Soldado,0.0,3.0,,4.0,R,1.0,0.0,,4.0,,17,Thriller,0,"Solid drug war sequel has intense violence, language.",3,sicario-day-of-the-soldado,3,0,0,0
Damsel,0.0,3.0,,4.0,R,0.0,3.0,,4.0,,16,Western,1,"Unusual, uneven Western has violence, language, drinking.",3,damsel,3,0,0,0
Distorted,0.0,2.0,,0.0,R,1.0,0.0,,3.0,,15,Thriller,2,Rapid-fire disturbing images in paranoid thriller.,2,distorted,3,0,0,0
The Catcher Was a Spy,0.0,1.0,,3.0,R,3.0,2.0,,3.0,,15,Thriller,3,"Well-made spy thriller has some war violence, language.",4,the-catcher-was-a-spy,3,0,0,0
Boundaries,0.0,4.0,,4.0,R,1.0,4.0,,2.0,,16,Comedy,4,Indie road-trip dramedy has pot dealing/smoking.,2,boundaries,3,0,0,0
Izzy Gets the F*ck Across Town,1.0,3.0,,5.0,NR,1.0,3.0,,2.0,,16,Comedy,5,"Swearing, smoking, drinking in slight but appealing comedy.",3,izzy-gets-the-fck-across-town,4,0,0,0
Jurassic World: Fallen Kingdom,3.0,1.0,,2.0,PG-13,3.0,1.0,,4.0,,13,Action/Adventure,6,"Intense dino sequel has scary, jump-worthy violence.",3,jurassic-world-fallen-kingdom,2,0,0,0
Brothers of the Wind,0.0,0.0,,0.0,NR,5.0,0.0,,3.0,,10,Action/Adventure,7,An eagle and boy come of age together in majestic Alps.,4,brothers-of-the-wind,4,0,0,0
Unsane,0.0,3.0,,4.0,R,2.0,1.0,,4.0,,16,Thriller,8,"Disturbing violence, swearing in Soderbergh thriller.",3,unsane,3,0,0,0
Flower,0.0,3.0,,4.0,R,1.0,4.0,,2.0,,16,Comedy,9,"Language, unhealthy sexuality in dark teen comedy.",4,flower,3,0,0,0
Midnight Sun,1.0,3.0,,3.0,PG-13,3.0,2.0,,0.0,,13,Romance,10,Tear-jerking romance is mild except for teen partying.,3,midnight-sun,2,0,0,0
"Paul, Apostle of Christ",0.0,1.0,,0.0,PG-13,3.0,1.0,,4.0,,14,Drama,11,"Biblical drama has bloody violence, lacks depth.",2,paul-apostle-of-christ,2,0,0,0
The Death of Stalin,0.0,1.0,,4.0,R,0.0,1.0,,3.0,,15,Comedy,12,"Language, violence in amazing, absurd historical comedy.",5,the-death-of-stalin,3,0,0,0
Pacific Rim: Uprising,1.0,1.0,,3.0,PG-13,3.0,1.0,,4.0,,12,Action/Adventure,13,Surprisingly fun (but violent) monsters vs. robots sequel.,3,pacific-rim-uprising,2,0,0,0
The Swap,0.0,0.0,0.0,0.0,NR,3.0,0.0,0.0,0.0,0.0,6,Family and Kids,14,Predictable body-switching comedy has positive messages.,3,the-swap,4,1,1,1
Class Rank,1.0,3.0,,3.0,NR,3.0,2.0,,1.0,,13,Comedy,15,"Coming-of-age comedy has likable characters, some drinking.",4,class-rank,4,0,0,0
Set It Up,1.0,2.0,,4.0,NR,3.0,3.0,,0.0,,15,Comedy,16,"Upbeat, engaging romcom has language and drinking.",3,set-it-up,4,0,0,0
Incredibles 2,1.0,2.0,2.0,2.0,PG,4.0,0.0,1.0,0.0,3.0,8,Family and Kids,17,"Terrific, action-packed superhero sequel was worth the wait.",4,incredibles-2,1,1,1,1
The Yellow Birds,0.0,3.0,,4.0,R,3.0,1.0,,4.0,,16,Drama,18,"War violence, language, shocking moments in mature drama.",3,the-yellow-birds,3,0,0,0
Tag,0.0,3.0,,4.0,R,2.0,3.0,,3.0,,16,Comedy,19,"Thin friendship comedy has language, slapstick pratfalls.",2,tag,3,0,0,0
Eating Animals,2.0,1.0,,3.0,NR,3.0,1.0,,4.0,,15,Documentary,20,Farm docu's stomach-churning stories offer food for thought.,4,eating-animals,4,0,0,0
Gotti,0.0,1.0,,5.0,R,0.0,1.0,,4.0,,16,Drama,21,"Incomprehensible, violent mess glorifies real-life mobster.",1,gotti,3,0,0,0
Jesus Christ Superstar Live in Concert,0.0,1.0,,0.0,NR,3.0,1.0,,2.0,,12,Musical,22,Masterful performances impress in modernized rock opera.,4,jesus-christ-superstar-live-in-concert,4,0,0,0
SuperFly,0.0,4.0,,5.0,R,0.0,5.0,,4.0,,17,Action/Adventure,23,"Blaxploitation remake is a mixed bag; drugs, sex, swearing.",2,superfly,3,0,0,0
Alex &amp; Me,1.0,0.0,0.0,0.0,G,5.0,0.0,0.0,0.0,1.0,8,Family and Kids,24,Kid-friendly soccer tale scores with positive messages.,4,alex-me,0,1,1,1
"Love, Simon",2.0,3.0,,3.0,PG-13,5.0,3.0,,2.0,,13,Comedy,25,"Affecting, lovable romcom about gay teen has a little edge.",4,love-simon,2,0,0,0
The Strangers: Prey at Night,0.0,3.0,,4.0,R,0.0,1.0,,5.0,,16,Horror,26,"Annoying, pointless, very bloody home-invasion sequel.",1,the-strangers-prey-at-night,3,0,0,0
I Can Only Imagine,0.0,0.0,,0.0,PG,4.0,1.0,,2.0,,10,Drama,27,Poignant faith-based drama about hit song's inspiration.,3,i-can-only-imagine,1,0,0,0
An Ordinary Man,0.0,3.0,,4.0,R,1.0,1.0,,3.0,,15,Drama,28,"Language, mild violence in war-criminal drama.",3,an-ordinary-man,3,0,0,0
One Big Ocean,0.0,0.0,4.0,0.0,NR,4.0,0.0,0.0,0.0,0.0,3,Family and Kids,29,"Biodiversity, environmental concerns in marine adventures.",4,one-big-ocean,4,1,1,1
Elizabeth Blue,0.0,2.0,,0.0,PG-13,3.0,2.0,,2.0,,13,Drama,30,Drama quietly explores a woman's mental illness.,3,elizabeth-blue,2,0,0,0
Tomb Raider,1.0,2.0,,3.0,PG-13,2.0,1.0,,4.0,,14,Action/Adventure,31,"Noisy, violent reboot feels like a wasted opportunity.",2,tomb-raider,2,0,0,0
Sherlock Gnomes,1.0,0.0,1.0,1.0,PG,3.0,0.0,2.0,0.0,3.0,6,Family and Kids,32,"More peril, action in sweet but unsurprising sequel.",3,sherlock-gnomes,1,1,1,1
Alex Strangelove,1.0,3.0,,5.0,NR,3.0,3.0,,1.0,,16,Comedy,33,"Comedy with heart about teen sexuality; language, drinking.",3,alex-strangelove,4,0,0,0
The Valley,1.0,4.0,,4.0,R,3.0,2.0,,3.0,,15,Drama,34,Teen suicide drama aims for parental prevention.,3,the-valley,3,0,0,0
Won't You Be My Neighbor?,1.0,1.0,,2.0,PG-13,5.0,2.0,,3.0,,10,Documentary,35,"Profound, poignant biography of an extraordinary, kind man.",5,wont-you-be-my-neighbor,2,0,0,0
Ocean's 8,4.0,3.0,,3.0,PG-13,2.0,2.0,,1.0,,13,Comedy,36,"Breezy heist comedy has fab cast, some iffy behavior.",3,oceans-8,2,0,0,0
Hereditary,0.0,4.0,,4.0,R,0.0,4.0,,5.0,,17,Horror,37,"Clammy, deeply unsettling horror movie is very scary.",4,hereditary,3,0,0,0
Hotel Artemis,0.0,3.0,,4.0,R,1.0,2.0,,4.0,,16,Action/Adventure,38,"Lots of violence, strong language in sci-fi actioner.",3,hotel-artemis,3,0,0,0
